Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Date,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Tot_Mins
PG,27,41.0,11,25.2,4.1,10.2,0.4,1.3,3.5,0.371,2.8,6.7,0.415,0.46299999999999997,1.9,2.4,0.7759999999999999,0.3,2.4,2.8,5.7,0.5,0.0,2.5,1.5,11.3,2012,14.9,0.502,0.342,0.23399999999999999,1.5,10.8,6.1,39.0,1.0,0.0,18.3,24.3,0.8,0.4,1.2,0.055999999999999994,1.1,-2.1,-1.0,0.3,4.3,1033.2
C,26,31.0,31,33.3,6.7,15.6,0.43200000000000005,1.1,3.7,0.29600000000000004,5.6,11.9,0.474,0.467,4.9,5.6,0.873,0.8,4.8,5.5,2.0,0.6,0.5,2.2,1.7,19.5,2012,17.9,0.5379999999999999,0.23800000000000002,0.35700000000000004,2.8,16.6,9.8,11.6,0.9,1.2,11.0,28.7,1.3,0.9,2.2,0.10400000000000001,2.4,-1.3,1.1,0.8,10.0,1032.3
SF,31,63.0,16,22.9,2.8,6.1,0.452,0.7,2.2,0.33299999999999996,2.0,4.0,0.518,0.512,1.5,2.0,0.742,1.5,3.9,5.5,2.0,0.6,0.8,1.2,2.4,7.8,2012,15.5,0.5539999999999999,0.35700000000000004,0.331,7.9,18.3,13.3,13.8,1.3,2.4,14.1,16.4,2.4,1.8,4.3,0.142,0.4,1.3,1.6,1.3,1.9062,1442.6999999999998
C,30,2.0,0,4.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2.5,2.0,2012,4.7,0.5,0.0,0.0,12.6,0.0,6.3,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.054000000000000006,-11.5,-4.8,-16.3,0.0,1.027424,9.0
PF,26,59.0,39,31.7,5.1,10.7,0.479,0.0,0.0,0.0,5.1,10.7,0.479,0.479,2.2,2.8,0.81,1.6,4.6,6.2,0.9,0.6,0.9,1.1,2.3,12.5,2012,14.1,0.524,0.0,0.258,6.3,16.3,11.5,5.1,1.0,2.2,8.5,19.8,1.5,3.2,4.7,0.122,-1.3,0.3,-1.0,0.5,4.25,1870.3
C,35,27.0,11,10.9,0.7,1.9,0.373,0.0,0.0,0.0,0.7,1.9,0.38,0.373,0.1,0.1,1.0,0.3,2.2,2.5,0.6,0.1,0.2,0.1,1.0,1.6,2012,7.3,0.39799999999999996,0.02,0.078,3.0,22.3,12.6,7.6,0.7,1.5,7.0,9.0,0.0,0.5,0.5,0.076,-4.4,1.5,-2.9,-0.1,0.854389,294.3
SF,33,65.0,10,23.1,1.7,4.5,0.387,1.0,2.8,0.33899999999999997,0.8,1.7,0.46799999999999997,0.493,0.4,0.6,0.622,0.9,1.5,2.4,1.3,1.0,0.5,0.6,1.6,4.8,2012,9.7,0.504,0.627,0.127,4.6,7.7,6.2,8.0,2.2,1.8,10.7,10.7,1.2,2.1,3.3,0.10400000000000001,-0.7,1.6,0.9,1.1,3.135,1501.5
SF,23,59.0,34,30.4,4.9,10.9,0.451,1.8,4.6,0.391,3.1,6.2,0.496,0.534,2.3,2.7,0.836,1.4,3.2,4.6,1.4,1.0,1.0,1.5,1.8,13.9,2012,17.3,0.575,0.42700000000000005,0.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,3.3,1.4,4.8,0.127,2.6,0.0,2.5,2.0,2.155365,1793.6
PG,23,31.0,11,22.7,3.8,8.9,0.424,1.4,3.4,0.423,2.4,5.5,0.424,0.504,2.4,2.8,0.852,0.3,1.9,2.1,3.8,0.8,0.1,1.7,2.3,11.4,2012,17.7,0.561,0.377,0.319,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,1.5,0.6,2.0,0.139,2.4,-0.7,1.7,0.6,3.04228,703.6999999999999
SF,23,47.0,7,23.1,4.7,10.6,0.445,0.8,2.1,0.376,3.9,8.4,0.462,0.483,1.3,2.0,0.642,0.8,3.6,4.4,1.0,0.4,0.4,1.7,1.8,11.5,2012,13.0,0.502,0.203,0.191,4.0,17.2,10.6,7.7,0.9,1.2,12.9,25.3,-0.3,0.8,0.5,0.022000000000000002,-1.2,-0.9,-2.1,0.0,6.262347,1085.7
PG,23,53.0,12,21.7,3.5,8.4,0.42200000000000004,0.7,2.5,0.28800000000000003,2.8,5.9,0.479,0.465,1.1,1.3,0.841,0.4,2.5,2.8,2.9,1.1,0.5,1.3,1.8,8.9,2012,15.3,0.496,0.297,0.155,1.9,12.8,7.4,22.7,2.6,1.9,12.8,22.0,0.5,1.7,2.2,0.092,-0.4,1.7,1.3,1.0,1.23672,1150.1
SG,25,66.0,55,29.8,4.3,10.4,0.41700000000000004,1.6,4.3,0.377,2.7,6.1,0.445,0.495,1.5,2.0,0.7829999999999999,0.3,2.3,2.6,1.5,0.7,0.1,1.0,1.7,11.8,2012,11.9,0.525,0.414,0.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,1.9,1.0,2.9,0.071,-0.4,-0.8,-1.2,0.4,3.377604,1966.8
SG,35,34.0,33,23.4,2.4,5.1,0.466,1.0,2.6,0.391,1.4,2.6,0.54,0.563,0.6,0.7,0.84,0.2,1.3,1.4,1.1,0.4,0.1,0.6,2.3,6.4,2012,8.3,0.586,0.5,0.14400000000000002,0.9,6.3,3.5,7.0,0.9,0.2,10.2,11.6,1.0,0.1,1.1,0.069,-1.8,-0.7,-2.5,-0.1,3.48,795.5999999999999
PG,33,39.0,4,14.3,0.9,3.2,0.282,0.7,2.2,0.318,0.2,1.0,0.205,0.391,0.2,0.2,0.75,0.1,1.4,1.5,2.1,0.5,0.1,0.5,1.2,2.6,2012,7.8,0.40399999999999997,0.685,0.065,1.0,11.3,6.1,21.2,1.9,0.4,13.6,11.9,0.0,0.7,0.7,0.061,-2.9,1.0,-1.9,0.0,0.854389,557.7
C,25,47.0,35,15.7,0.8,1.4,0.609,0.0,0.0,0.0,0.8,1.4,0.609,0.609,0.0,0.2,0.111,1.0,2.8,3.7,0.3,0.5,1.0,0.3,2.7,1.7,2012,8.8,0.581,0.0,0.141,6.9,20.0,13.5,3.0,1.6,4.7,17.1,5.1,0.6,0.7,1.3,0.085,-3.8,1.5,-2.3,0.0,9.0,737.9
SG,35,20.0,20,30.4,4.2,11.4,0.364,2.4,6.3,0.384,1.8,5.2,0.34,0.469,4.3,4.8,0.895,0.2,2.3,2.5,4.0,0.5,0.2,1.9,2.0,15.0,2012,16.1,0.5539999999999999,0.5479999999999999,0.41700000000000004,0.8,9.1,4.9,21.0,0.8,0.4,12.3,23.4,1.5,0.2,1.7,0.135,2.9,-2.0,0.9,0.4,2.000032,608.0
C,19,63.0,41,23.1,2.0,4.4,0.46399999999999997,0.0,0.0,0.0,2.0,4.4,0.46399999999999997,0.46399999999999997,1.1,2.3,0.483,1.8,4.0,5.8,0.4,0.3,1.8,1.1,2.3,5.2,2012,10.6,0.48,0.0,0.514,8.6,20.8,14.5,3.1,0.7,5.9,17.2,13.1,-0.5,1.1,0.6,0.019,-4.5,-0.2,-4.6,-1.0,2.79804,1455.3000000000002
PF,22,64.0,62,21.3,4.2,7.9,0.534,0.0,0.0,0.0,4.2,7.9,0.535,0.534,1.1,1.9,0.613,2.4,3.1,5.5,1.2,0.9,0.2,1.4,2.6,9.5,2012,17.6,0.5489999999999999,0.002,0.23600000000000002,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,2.2,1.8,4.0,0.142,-0.4,0.0,-0.3,0.6,1.054,1363.2
PG,31,53.0,5,23.3,1.9,5.1,0.377,1.0,3.0,0.335,0.9,2.1,0.436,0.47600000000000003,0.4,0.5,0.778,0.2,1.4,1.6,3.3,0.7,0.0,1.4,1.4,5.2,2012,8.5,0.493,0.59,0.10099999999999999,0.9,6.6,3.8,21.0,1.7,0.1,20.5,13.0,0.2,0.8,1.0,0.04,-2.5,0.0,-2.5,-0.2,4.0,1234.9
PF,25,26.0,13,24.1,3.6,9.4,0.38,0.1,0.3,0.28600000000000003,3.5,9.2,0.382,0.384,1.3,1.9,0.6729999999999999,1.6,4.2,5.8,1.1,0.8,0.7,1.4,2.1,8.5,2012,10.6,0.415,0.028999999999999998,0.2,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,-0.8,0.6,-0.1,-0.011000000000000001,-3.4,-1.4,-4.8,-0.4,6.442083,626.6
PG,22,40.0,1,11.6,1.2,3.2,0.389,0.2,0.8,0.2,1.1,2.4,0.44799999999999995,0.413,0.7,1.1,0.636,0.6,1.1,1.6,1.7,0.8,0.4,1.2,1.5,3.3,2012,11.2,0.45399999999999996,0.23800000000000002,0.349,5.6,11.1,8.3,21.6,3.6,2.5,24.4,19.1,-0.4,0.6,0.2,0.022000000000000002,-3.4,1.8,-1.6,0.0,1.59636,464.0
SF,31,5.0,1,18.8,1.6,4.2,0.381,0.6,2.4,0.25,1.0,1.8,0.556,0.452,0.4,1.0,0.4,1.0,1.2,2.2,0.6,0.4,0.0,0.6,3.0,4.2,2012,4.8,0.45299999999999996,0.5710000000000001,0.23800000000000002,6.0,7.6,6.8,5.1,1.1,0.0,11.5,12.8,0.0,0.0,0.0,-0.005,-5.2,-2.7,-7.9,-0.1,1.728,94.0
C,27,12.0,12,30.3,5.1,11.3,0.449,0.0,0.1,0.0,5.1,11.3,0.452,0.449,1.2,1.9,0.609,1.8,6.5,8.3,2.6,1.0,2.0,2.0,3.0,11.3,2012,14.9,0.465,0.006999999999999999,0.16899999999999998,6.5,24.3,15.1,13.7,1.7,5.0,14.1,20.6,-0.1,0.6,0.5,0.062,-1.9,2.3,0.5,0.2,12.0,363.6
PF,31,65.0,2,20.4,2.4,5.4,0.44,1.6,3.8,0.42,0.8,1.5,0.49,0.59,0.2,0.3,0.762,0.4,2.8,3.3,0.9,0.2,0.3,0.2,1.0,6.6,2012,13.2,0.597,0.7140000000000001,0.06,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,2.7,1.2,4.0,0.14300000000000002,2.4,0.3,2.6,1.5,3.63,1326.0
